Neighborhood Cluster,Neighborhood Cluster Names,School Year_x,Count of English Learner Students,English Learner Students as  share of Neighborhood Cluster,Count of At Risk Students,At Risk as share of Neighborhood Cluster,Count of Special Education Students,Special Education Students as share of Neighborhood Cluster,Sum of Enrollment by Sector and Grade Band,Sum of Total Enrollment (DCPS & PCS)
Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",SY18-19,205,0.19,65,0.06,70,0.06,463,463
Cluster 15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",SY18-19,68,0.1,28,0.04,48,0.07,1511,1511
Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",SY18-19,56,0.1,62,0.11,66,0.12,379,379
Cluster 17,"Takoma, Brightwood, Manor Park",SY18-19,1567,0.37,1313,0.32,555,0.13,4811,9622
Cluster 18,"Brightwood Park, Crestwood, Petworth",SY18-19,2189,0.32,2161,0.32,918,0.13,7650,14652
Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",SY18-19,890,0.31,1081,0.39,448,0.16,3279,5891
Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",SY18-19,2236,0.36,2289,0.39,936,0.15,8233,16466
Cluster 20,"North Michigan Park, Michigan Park, University Heights",SY18-19,130,0.1,371,0.29,191,0.15,1122,2244
Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",SY18-19,342,0.12,1196,0.43,420,0.15,6086,12172
Cluster 22,"Brookland, Brentwood, Langdon",SY18-19,242,0.1,1053,0.43,364,0.15,2755,5189
Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",SY18-19,321,0.11,1672,0.57,495,0.17,3383,6735
Cluster 24,"Woodridge, Fort Lincoln, Gateway",SY18-19,76,0.05,490,0.35,191,0.14,512,512
Cluster 25,"Union Station, Stanton Park, Kingman Park",SY18-19,81,0.03,991,0.31,430,0.13,5003,9778
Cluster 26,"Capitol Hill, Lincoln Park",SY18-19,49,0.02,661,0.24,285,0.1,4002,7454
Cluster 27,"Near Southeast, Navy Yard",SY18-19,N<10,N<10,139,0.34,72,0.17,725,1151
Cluster 28,Historic Anacostia,SY18-19,21,0.01,1011,0.7,271,0.18,679,1358
Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",SY18-19,86,0.14,253,0.42,86,0.14,1234,2048
Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",SY18-19,74,0.04,1169,0.57,356,0.17,1640,1640
Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",SY18-19,90,0.03,1962,0.58,634,0.18,3672,7344
Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",SY18-19,94,0.03,1846,0.61,535,0.18,1966,2499
Cluster 33,"Capitol View, Marshall Heights, Benning Heights",SY18-19,171,0.04,2561,0.56,757,0.16,3368,6019
Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",SY18-19,57,0.02,1707,0.54,504,0.16,1752,1752
Cluster 35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",SY18-19,N<10,N<10,418,0.44,168,0.17,120,120
Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",SY18-19,18,0.01,1695,0.75,455,0.2,1382,2764
Cluster 37,"Sheridan, Barry Farm, Buena Vista",SY18-19,17,0.01,1615,0.67,467,0.19,3638,6267
Cluster 38,"Douglas, Shipley Terrace",SY18-19,41,0.01,2613,0.67,763,0.19,1196,2117
Cluster 39,"Congress Heights, Bellevue, Washington Highlands",SY18-19,82,0.01,5453,0.67,1466,0.17,8350,16176
Cluster 4,"Georgetown, Burleith/Hillandale",SY18-19,38,0.17,13,0.06,19,0.09,996,996
Cluster 5,"West End, Foggy Bottom, GWU",SY18-19,12,0.1,14,0.11,N<10,N<10,1433,2394
Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",SY18-19,66,0.19,18,0.05,26,0.08,190,190
Cluster 7,"Shaw, Logan Circle",SY18-19,379,0.25,671,0.45,223,0.15,1943,3570
Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",SY18-19,120,0.11,637,0.58,191,0.17,1351,2509
Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",SY18-19,50,0.04,689,0.59,240,0.2,993,1986
