school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718
DCPS,299,Plummer Elementary School,PK3-5th,331.0,43.81,3.0,448.0,117.0,38.8872402,-76.93993468,Cluster 33,Ward 7,Elementary,375.0,45.35,3.0,448.0,73.0,293,92,102,59,27,341.0,113,169,33,17
DCPS,300,Powell Elementary School,PK3-5th,535.0,62.23,4.0,480.0,0.0,38.94162369,-77.03139783,Cluster 18,Ward 4,Elementary,548.0,59.92,3.0,480.0,0.0,469,294,41,17,n<10,461.0,286,72,<10,11
DCPS,316,Randle Highlands Elementary School,PK3-5th,329.0,48.55,3.0,450.0,121.0,38.87009174,-76.96435628,Cluster 34,Ward 7,Elementary,325.0,20.98,2.0,450.0,125.0,272,178,58,n<10,n<10,266.0,181,38,<10,0
DCPS,302,Raymond Education Campus,PK3-8th,558.0,62.46,4.0,649.0,91.0,38.93581121,-77.02643266,Cluster 18,Ward 4,Education Campus/Multi,589.0,59.12,3.0,649.0,60.0,505,285,134,36,17,541.0,322,148,37,<10
DCPS,304,River Terrace Education Campus,SPED,131.0,,,160.0,29.0,38.8952415,-76.95896387,Cluster 32,Ward 7,SPED,137.0,,,160.0,23.0,72,24,13,12,17,76.0,52,10,<10,<10
DCPS,436,Ron Brown College Preparatory High School,9th-11th,261.0,15.1,1.0,600.0,339.0,38.90656271,-76.93270478,Cluster 31,Ward 7,High,209.0,29.57,2.0,600.0,391.0,275,23,44,71,134,213.0,33,42,56,80
DCPS,459,Roosevelt High School,9th-12th,645.0,12.69,1.0,,,38.94302943,-77.02919685,Cluster 18,Ward 4,High,698.0,10.62,1.0,,,697,67,82,138,400,725.0,92,82,139,392
DCPS,456,Roosevelt STAY,Adult,648.0,17.06,1.0,,,38.94302943,-77.02919685,Cluster 18,Ward 4,,515.0,21.15,2.0,,,189,10,15,11,145,186.0,12,11,16,146
DCPS,305,Ross Elementary School,PK3-5th,190.0,70.25,4.0,176.0,0.0,38.91239115,-77.03966214,Cluster 6,Ward 2,Elementary,174.0,72.96,4.0,176.0,2.0,166,94,12,n<10,n<10,149.0,94,23,<10,0
DCPS,307,Savoy Elementary School,PK3-5th,271.0,40.12,3.0,430.0,159.0,38.86285199,-76.99360426,Cluster 37,Ward 8,Elementary,267.0,29.16,2.0,430.0,163.0,242,38,67,100,35,252.0,55,59,54,27
DCPS,409,School Without Walls @ Francis-Stevens,PK3-8th,472.0,58.04,3.0,513.0,41.0,38.9074695,-77.052321,Cluster 5,Ward 2,Education Campus/Multi,473.0,58.29,3.0,513.0,40.0,414,235,65,18,n<10,406.0,222,67,32,<10
DCPS,466,School Without Walls High School,9th-12th,592.0,97.9,5.0,520.0,0.0,38.89812412,-77.04818647,Cluster 5,Ward 2,High,592.0,98.56,5.0,520.0,0.0,590,396,34,n<10,0,595.0,336,41,10,<10
DCPS,175,School-Within-School @ Goding,PK3-5th,313.0,88.26,5.0,444.0,131.0,38.89756498,-76.99318304,Cluster 25,Ward 6,Elementary,308.0,88.55,5.0,444.0,136.0,237,145,21,n<10,n<10,239.0,166,20,<10,0
DCPS,309,Seaton Elementary School,PK3-5th,390.0,70.59,4.0,446.0,56.0,38.9106187,-77.02488247,Cluster 7,Ward 6,Elementary,371.0,46.54,3.0,446.0,75.0,309,168,70,31,n<10,289.0,161,42,13,<10
DCPS,313,Shepherd Elementary School,PK3-5th,379.0,76.61,4.0,400.0,21.0,38.98460328,-77.03399523,Cluster 16,Ward 4,Elementary,364.0,67.39,4.0,400.0,36.0,324,200,27,12,n<10,311.0,201,28,<10,<10
DCPS,315,Simon Elementary School,PK3-5th,241.0,17.9,1.0,325.0,84.0,38.83598054,-77.000195,Cluster 39,Ward 8,Elementary,274.0,40.12,3.0,325.0,51.0,233,69,69,65,25,271.0,123,65,49,18
DCPS,322,Smothers Elementary School,PK3-5th,249.0,16.27,1.0,337.0,88.0,38.89355404,-76.93846864,Cluster 30,Ward 7,Elementary,252.0,25.48,2.0,337.0,85.0,205,68,68,37,23,209.0,74,59,56,<10
DCPS,427,Sousa Middle School,6th-8th,242.0,32.45,2.0,790.0,548.0,38.88389441,-76.95315884,Cluster 32,Ward 7,Middle,228.0,12.33,1.0,790.0,562.0,262,61,76,81,40,270.0,61,80,80,38
DCPS,319,Stanton Elementary School,PK3-5th,473.0,38.76,2.0,586.0,113.0,38.85927211,-76.96849023,Cluster 36,Ward 8,Elementary,493.0,20.72,2.0,586.0,93.0,424,131,112,97,67,436.0,195,111,81,13
DCPS,321,Stoddert Elementary School,PK4-5th,463.0,77.85,4.0,489.0,26.0,38.92304465,-77.0790738,Cluster 14,Ward 3,Elementary,438.0,78.95,4.0,489.0,51.0,466,288,44,n<10,n<10,452.0,281,37,<10,0
DCPS,428,Stuart-Hobson Middle School (Capitol Hill Cluster),6th-8th,454.0,61.01,4.0,450.0,0.0,38.8962977,-77.00000438,Cluster 25,Ward 6,Middle,422.0,53.53,3.0,450.0,28.0,461,251,102,38,11,432.0,246,107,38,<10
DCPS,324,Takoma Education Campus,PK3-8th,508.0,44.94,3.0,450.0,0.0,38.97504287,-77.02279493,Cluster 17,Ward 4,Education Campus/Multi,473.0,30.48,2.0,450.0,0.0,471,300,46,31,12,431.0,245,27,14,13
